store_id,retailer,retailer_key,address,zip_code,full_address,latitude,longitude,geocode_source,geocode_confidence
672,United Supermarkets,shopunitedsupermarkets,1002 Andrews Hwy,79701,"1002 Andrews Hwy, Midland, TX 79701",31.9896,-102.0626,zip_centroid,zip_centroid
3674,Market Street,shopmarketstreet,4706 N Midkiff Rd,79705,"4706 N Midkiff Rd, Midland, TX 79705",32.0295,-102.0915,zip_centroid,zip_centroid
671,United Supermarkets,shopunitedsupermarkets,3317 N Midland Dr,79707,"3317 N Midland Dr, Midland, TX 79707",32.0199,-102.1476,zip_centroid,zip_centroid
675,Market Street,shopmarketstreet,4950 E 42nd St,79762,"4950 E 42nd St, Odessa, TX 79762",31.889,-102.3548,zip_centroid,zip_centroid
2667,Safeway,safeway,700 S Greeley Hwy,82007,"700 S Greeley Hwy, Cheyenne, WY 82007",41.1084,-104.8107,zip_centroid,zip_centroid
66,Albertsons,albertsons,5800 Yellowstone Rd,82009,"5800 Yellowstone Rd, Cheyenne, WY 82009",41.1836,-104.8023,zip_centroid,zip_centroid
65,Albertsons,albertsons,3355 E Pershing Blvd,82001,"3355 E Pershing Blvd, Cheyenne, WY 82001",41.1437,-104.7962,zip_centroid,zip_centroid
2466,Safeway,safeway,554 N 3rd St,82072,"554 N 3rd St, Laramie, WY 82072",41.4247,-105.4781,zip_centroid,zip_centroid
2462,Safeway,safeway,1307 16th St,82201,"1307 16th St, Wheatland, WY 82201",42.0495,-104.9679,zip_centroid,zip_centroid
467,Safeway,safeway,1900 E Richards St,82633,"1900 E Richards St, Douglas, WY 82633",42.7626,-105.3855,zip_centroid,zip_centroid
62,Albertsons,albertsons,2625 E 2nd St,82609,"2625 E 2nd St, Casper, WY 82609",42.8406,-106.2806,zip_centroid,zip_centroid
60,Albertsons,albertsons,1076 CY Ave,82604,"1076 CY Ave, Casper, WY 82604",42.8261,-106.3896,zip_centroid,zip_centroid
876,Safeway,safeway,731 S Lemay Ave,80524,"731 S Lemay Ave, Fort Collins, CO 80524",40.5986,-105.0581,zip_centroid,zip_centroid
2913,Safeway,safeway,2160 W Drake Rd Unit 6,80526,"2160 W Drake Rd Unit 6, Fort Collins, CO 80526",40.5473,-105.1076,zip_centroid,zip_centroid
1552,Safeway,safeway,1426 E Harmony Rd,80525,"1426 E Harmony Rd, Fort Collins, CO 80525",40.5384,-105.0547,zip_centroid,zip_centroid
1791,Safeway,safeway,1535 Main St,80550,"1535 Main St, Windsor, CO 80550",40.4837,-104.8994,zip_centroid,zip_centroid
2918,Safeway,safeway,3526 W 10th St,80634,"3526 W 10th St, Greeley, CO 80634",40.4109,-104.7541,zip_centroid,zip_centroid
2666,Safeway,safeway,4548 Centerplace Dr,80634,"4548 Centerplace Dr, Greeley, CO 80634",40.4109,-104.7541,zip_centroid,zip_centroid
804,Safeway,safeway,1451 W Eisenhower Blvd,80537,"1451 W Eisenhower Blvd, Loveland, CO 80537",40.3849,-105.0916,zip_centroid,zip_centroid
914,Safeway,safeway,2321 W Eisenhower Blvd,80537,"2321 W Eisenhower Blvd, Loveland, CO 80537",40.3849,-105.0916,zip_centroid,zip_centroid
920,Safeway,safeway,451 E Wonderview Ave,80517,"451 E Wonderview Ave, Estes Park, CO 80517",40.3658,-105.5142,zip_centroid,zip_centroid
2910,Safeway,safeway,1632 Hover Rd,80501,"1632 Hover Rd, Longmont, CO 80501",40.1779,-105.1009,zip_centroid,zip_centroid
1116,Safeway,safeway,1050 Ken Pratt Blvd,80501,"1050 Ken Pratt Blvd, Longmont, CO 80501",40.1779,-105.1009,zip_centroid,zip_centroid
1828,Safeway,safeway,8134 Colorado Blvd,80504,"8134 Colorado Blvd, Firestone, CO 80504",40.1306,-104.9504,zip_centroid,zip_centroid
3342,Albertsons,albertsons,1323 Dewar Dr,82901,"1323 Dewar Dr, Rock Springs, WY 82901",41.606,-109.23,zip_centroid,zip_centroid
2761,Safeway,safeway,1165 W Main St,82520,"1165 W Main St, Lander, WY 82520",42.9208,-108.5913,zip_centroid,zip_centroid
637,Safeway,safeway,37500 US-40,80487,"37500 US-40, Steamboat Springs, CO 80487",40.6327,-106.9318,zip_centroid,zip_centroid
67,Albertsons,albertsons,2610 S Douglas Hwy,82718,"2610 S Douglas Hwy, Gillette, WY 82718",43.9282,-105.5492,zip_centroid,zip_centroid
64,Albertsons,albertsons,1865 Coffeen Ave,82801,"1865 Coffeen Ave, Sheridan, WY 82801",44.7849,-106.9648,zip_centroid,zip_centroid
2061,Albertsons,albertsons,1825 17th St,82414,"1825 17th St, Cody, WY 82414",44.5231,-109.0756,zip_centroid,zip_centroid
583,Safeway,safeway,1606 North Ave,57783,"1606 North Ave, Spearfish, SD 57783",44.4946,-103.865,zip_centroid,zip_centroid
